PairKey,BaseCaseID,VariantCaseID,BaseSelectedResponseType,VariantSelectedResponseType,ResponseTypeChanged,BaseTopScore,VariantTopScore,BaseMargin,VariantMargin,BaseStructureType,VariantStructureType,BaseEnergyProfile,VariantEnergyProfile
H12_Clustered_AccentedEnding,Base_H12_Clustered_AccentedEnding,Variant_H12_Clustered_AccentedEnding,Fill,Fill,False,3.875,3.875,0.25,0.25,Clustered,Clustered,AccentedEnding,AccentedEnding
H12_Clustered_Flat,Base_H12_Clustered_Flat,Variant_H12_Clustered_Flat,Intensify,Intensify,False,4.625,4.625,1.5,0.75,Clustered,Clustered,Flat,Flat
H12_Clustered_Increasing,Base_H12_Clustered_Increasing,Variant_H12_Clustered_Increasing,Fill,Intensify,True,3.875,4.625,0.25,0.75,Clustered,Clustered,Increasing,Increasing
H12_Even_AccentedEnding,Base_H12_Even_AccentedEnding,Variant_H12_Even_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,Even,Even,AccentedEnding,AccentedEnding
H12_Even_Flat,Base_H12_Even_Flat,Variant_H12_Even_Flat,Intensify,Intensify,False,4.125,4.125,0.25,1,Even,Even,Flat,Flat
H12_Even_Increasing,Base_H12_Even_Increasing,Variant_H12_Even_Increasing,Intensify,Intensify,False,2.5,2.5,0.5,0.5,Even,Even,Increasing,Increasing
H12_FrontLoaded_AccentedEnding,Base_H12_FrontLoaded_AccentedEnding,Variant_H12_FrontLoaded_AccentedEnding,Mirror,Mirror,False,3.875,3.875,0.375,0.375,FrontLoaded,FrontLoaded,AccentedEnding,AccentedEnding
H12_FrontLoaded_Flat,Base_H12_FrontLoaded_Flat,Variant_H12_FrontLoaded_Flat,Intensify,Intensify,False,4.125,4.125,1,1,FrontLoaded,FrontLoaded,Flat,Flat
H12_FrontLoaded_Increasing,Base_H12_FrontLoaded_Increasing,Variant_H12_FrontLoaded_Increasing,Mirror,Mirror,False,3.875,3.875,0.375,0.375,FrontLoaded,FrontLoaded,Increasing,Increasing
H16_AnchorLed_AccentedEnding,Base_H16_AnchorLed_AccentedEnding,Variant_H16_AnchorLed_AccentedEnding,Fill,Intensify,True,3.875,2.5,0.75,0.5,AnchorLed,AnchorLed,AccentedEnding,AccentedEnding
H16_AnchorLed_Flat,Base_H16_AnchorLed_Flat,Variant_H16_AnchorLed_Flat,Fill,Fill,False,4.125,4.125,0.25,0.25,AnchorLed,AnchorLed,Flat,Flat
H16_AnchorLed_Increasing,Base_H16_AnchorLed_Increasing,Variant_H16_AnchorLed_Increasing,Fill,Intensify,True,3.875,2.5,0.75,0.5,AnchorLed,AnchorLed,Increasing,Increasing
H16_BackLoaded_AccentedEnding,Base_H16_BackLoaded_AccentedEnding,Variant_H16_BackLoaded_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,BackLoaded,BackLoaded,AccentedEnding,AccentedEnding
H16_BackLoaded_Flat,Base_H16_BackLoaded_Flat,Variant_H16_BackLoaded_Flat,Fill,Intensify,True,4.125,4.625,0.25,0.75,BackLoaded,BackLoaded,Flat,Flat
H16_BackLoaded_Increasing,Base_H16_BackLoaded_Increasing,Variant_H16_BackLoaded_Increasing,Intensify,Intensify,False,2.5,2.5,0.5,0.5,BackLoaded,BackLoaded,Increasing,Increasing
H16_Clustered_AccentedEnding,Base_H16_Clustered_AccentedEnding,Variant_H16_Clustered_AccentedEnding,Contrast,Contrast,False,3.25,3.25,0.25,0.25,Clustered,Clustered,AccentedEnding,AccentedEnding
H16_Clustered_Flat,Base_H16_Clustered_Flat,Variant_H16_Clustered_Flat,Mirror,Intensify,True,4,4,0,1.125,Clustered,Clustered,Flat,Flat
H16_Clustered_Increasing,Base_H16_Clustered_Increasing,Variant_H16_Clustered_Increasing,Intensify,Intensify,False,4,4,1.125,1.125,Clustered,Clustered,Increasing,Increasing
H16_Even_AccentedEnding,Base_H16_Even_AccentedEnding,Variant_H16_Even_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,Even,Even,AccentedEnding,AccentedEnding
H16_Even_Flat,Base_H16_Even_Flat,Variant_H16_Even_Flat,Intensify,Intensify,False,4.125,4.125,0.25,1,Even,Even,Flat,Flat
H16_Even_Increasing,Base_H16_Even_Increasing,Variant_H16_Even_Increasing,Intensify,Intensify,False,2.5,2.5,0.5,0.5,Even,Even,Increasing,Increasing
H16_FrontLoaded_AccentedEnding,Base_H16_FrontLoaded_AccentedEnding,Variant_H16_FrontLoaded_AccentedEnding,Mirror,Intensify,True,3.875,2.5,0.375,0.5,FrontLoaded,FrontLoaded,AccentedEnding,AccentedEnding
H16_FrontLoaded_Flat,Base_H16_FrontLoaded_Flat,Variant_H16_FrontLoaded_Flat,Intensify,Intensify,False,4.125,4.125,1,1,FrontLoaded,FrontLoaded,Flat,Flat
H16_FrontLoaded_Increasing,Base_H16_FrontLoaded_Increasing,Variant_H16_FrontLoaded_Increasing,Mirror,Intensify,True,3.875,4.625,0.375,0.75,FrontLoaded,FrontLoaded,Increasing,Increasing
H20_AnchorLed_AccentedEnding,Base_H20_AnchorLed_AccentedEnding,Variant_H20_AnchorLed_AccentedEnding,Fill,Fill,False,3.875,3.875,0.75,0.75,AnchorLed,AnchorLed,AccentedEnding,AccentedEnding
H20_AnchorLed_Flat,Base_H20_AnchorLed_Flat,Variant_H20_AnchorLed_Flat,Fill,Intensify,True,4.125,4.125,0.25,0.25,AnchorLed,AnchorLed,Flat,Flat
H20_AnchorLed_Increasing,Base_H20_AnchorLed_Increasing,Variant_H20_AnchorLed_Increasing,Fill,Intensify,True,3.875,2.5,0.75,0.5,AnchorLed,AnchorLed,Increasing,Increasing
H20_BackLoaded_AccentedEnding,Base_H20_BackLoaded_AccentedEnding,Variant_H20_BackLoaded_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,BackLoaded,BackLoaded,AccentedEnding,AccentedEnding
H20_BackLoaded_Flat,Base_H20_BackLoaded_Flat,Variant_H20_BackLoaded_Flat,Fill,Intensify,True,4.125,4.625,0.25,0.75,BackLoaded,BackLoaded,Flat,Flat
H20_BackLoaded_Increasing,Base_H20_BackLoaded_Increasing,Variant_H20_BackLoaded_Increasing,Intensify,Intensify,False,2.5,2.5,0.5,0.5,BackLoaded,BackLoaded,Increasing,Increasing
H20_Clustered_AccentedEnding,Base_H20_Clustered_AccentedEnding,Variant_H20_Clustered_AccentedEnding,Contrast,Contrast,False,3.25,3.25,0.25,0.25,Clustered,Clustered,AccentedEnding,AccentedEnding
H20_Clustered_Flat,Base_H20_Clustered_Flat,Variant_H20_Clustered_Flat,Mirror,Mirror,False,4,4,0,0,Clustered,Clustered,Flat,Flat
H20_Clustered_Increasing,Base_H20_Clustered_Increasing,Variant_H20_Clustered_Increasing,Intensify,Intensify,False,4,4,1.125,1.125,Clustered,Clustered,Increasing,Increasing
H20_Even_AccentedEnding,Base_H20_Even_AccentedEnding,Variant_H20_Even_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,Even,Even,AccentedEnding,AccentedEnding
H20_Even_Flat,Base_H20_Even_Flat,Variant_H20_Even_Flat,Intensify,Intensify,False,4.125,4.125,0.25,1,Even,Even,Flat,Flat
H20_Even_Increasing,Base_H20_Even_Increasing,Variant_H20_Even_Increasing,Intensify,Intensify,False,2.5,2.5,0.5,0.5,Even,Even,Increasing,Increasing
H20_FrontLoaded_AccentedEnding,Base_H20_FrontLoaded_AccentedEnding,Variant_H20_FrontLoaded_AccentedEnding,Mirror,Mirror,False,3.875,3.875,0.375,0.375,FrontLoaded,FrontLoaded,AccentedEnding,AccentedEnding
H20_FrontLoaded_Flat,Base_H20_FrontLoaded_Flat,Variant_H20_FrontLoaded_Flat,Intensify,Intensify,False,4.125,4.125,1,1,FrontLoaded,FrontLoaded,Flat,Flat
H20_FrontLoaded_Increasing,Base_H20_FrontLoaded_Increasing,Variant_H20_FrontLoaded_Increasing,Mirror,Mirror,False,3.875,3.875,0.375,0.375,FrontLoaded,FrontLoaded,Increasing,Increasing
H24_AnchorLed_AccentedEnding,Base_H24_AnchorLed_AccentedEnding,Variant_H24_AnchorLed_AccentedEnding,Fill,Fill,False,3.875,3.875,0.75,0.75,AnchorLed,AnchorLed,AccentedEnding,AccentedEnding
H24_AnchorLed_Flat,Base_H24_AnchorLed_Flat,Variant_H24_AnchorLed_Flat,Fill,Intensify,True,4.125,4.125,0.25,0.25,AnchorLed,AnchorLed,Flat,Flat
H24_AnchorLed_Increasing,Base_H24_AnchorLed_Increasing,Variant_H24_AnchorLed_Increasing,Fill,Fill,False,3.875,3.875,0.75,0.75,AnchorLed,AnchorLed,Increasing,Increasing
H24_BackLoaded_AccentedEnding,Base_H24_BackLoaded_AccentedEnding,Variant_H24_BackLoaded_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,BackLoaded,BackLoaded,AccentedEnding,AccentedEnding
H24_BackLoaded_Flat,Base_H24_BackLoaded_Flat,Variant_H24_BackLoaded_Flat,Fill,Fill,False,4.125,4.125,0.25,0.25,BackLoaded,BackLoaded,Flat,Flat
H24_BackLoaded_Increasing,Base_H24_BackLoaded_Increasing,Variant_H24_BackLoaded_Increasing,Intensify,Intensify,False,2.5,2.5,0.5,0.5,BackLoaded,BackLoaded,Increasing,Increasing
H24_Clustered_AccentedEnding,Base_H24_Clustered_AccentedEnding,Variant_H24_Clustered_AccentedEnding,Fill,Fill,False,3.875,3.875,0.25,0.25,Clustered,Clustered,AccentedEnding,AccentedEnding
H24_Clustered_Flat,Base_H24_Clustered_Flat,Variant_H24_Clustered_Flat,Intensify,Intensify,False,4.625,4.625,1.5,1.5,Clustered,Clustered,Flat,Flat
H24_Clustered_Increasing,Base_H24_Clustered_Increasing,Variant_H24_Clustered_Increasing,Fill,Fill,False,3.875,3.875,0.25,0.25,Clustered,Clustered,Increasing,Increasing
H24_Even_AccentedEnding,Base_H24_Even_AccentedEnding,Variant_H24_Even_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,Even,Even,AccentedEnding,AccentedEnding
H24_Even_Flat,Base_H24_Even_Flat,Variant_H24_Even_Flat,Intensify,Intensify,False,4.125,4.125,0.25,1,Even,Even,Flat,Flat
H24_Even_Increasing,Base_H24_Even_Increasing,Variant_H24_Even_Increasing,Intensify,Intensify,False,2.5,2.5,0.5,0.5,Even,Even,Increasing,Increasing
H24_FrontLoaded_AccentedEnding,Base_H24_FrontLoaded_AccentedEnding,Variant_H24_FrontLoaded_AccentedEnding,Mirror,Intensify,True,3.875,2.5,0.375,0.5,FrontLoaded,FrontLoaded,AccentedEnding,AccentedEnding
H24_FrontLoaded_Flat,Base_H24_FrontLoaded_Flat,Variant_H24_FrontLoaded_Flat,Intensify,Intensify,False,4.125,4.125,1,1,FrontLoaded,FrontLoaded,Flat,Flat
H24_FrontLoaded_Increasing,Base_H24_FrontLoaded_Increasing,Variant_H24_FrontLoaded_Increasing,Mirror,Intensify,True,3.875,4,0.375,1.125,FrontLoaded,FrontLoaded,Increasing,Increasing
H28_AnchorLed_AccentedEnding,Base_H28_AnchorLed_AccentedEnding,Variant_H28_AnchorLed_AccentedEnding,Fill,Fill,False,3.875,3.875,0.75,0.75,AnchorLed,AnchorLed,AccentedEnding,AccentedEnding
H28_AnchorLed_Flat,Base_H28_AnchorLed_Flat,Variant_H28_AnchorLed_Flat,Fill,Intensify,True,4.125,4.125,0.25,0.25,AnchorLed,AnchorLed,Flat,Flat
H28_AnchorLed_Increasing,Base_H28_AnchorLed_Increasing,Variant_H28_AnchorLed_Increasing,Fill,Intensify,True,3.875,2.5,0.75,0.5,AnchorLed,AnchorLed,Increasing,Increasing
H28_BackLoaded_AccentedEnding,Base_H28_BackLoaded_AccentedEnding,Variant_H28_BackLoaded_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,BackLoaded,BackLoaded,AccentedEnding,AccentedEnding
H28_BackLoaded_Flat,Base_H28_BackLoaded_Flat,Variant_H28_BackLoaded_Flat,Fill,Fill,False,4.125,4.125,0.25,0.25,BackLoaded,BackLoaded,Flat,Flat
H28_BackLoaded_Increasing,Base_H28_BackLoaded_Increasing,Variant_H28_BackLoaded_Increasing,Intensify,Contrast,True,2.5,3.25,0.5,0.25,BackLoaded,BackLoaded,Increasing,Increasing
H28_Clustered_AccentedEnding,Base_H28_Clustered_AccentedEnding,Variant_H28_Clustered_AccentedEnding,Fill,Fill,False,3.875,3.875,0.25,0.25,Clustered,Clustered,AccentedEnding,AccentedEnding
H28_Clustered_Flat,Base_H28_Clustered_Flat,Variant_H28_Clustered_Flat,Intensify,Intensify,False,4.625,4.625,1.5,0.75,Clustered,Clustered,Flat,Flat
H28_Clustered_Increasing,Base_H28_Clustered_Increasing,Variant_H28_Clustered_Increasing,Fill,Fill,False,3.875,3.875,0.25,0.25,Clustered,Clustered,Increasing,Increasing
H28_Even_AccentedEnding,Base_H28_Even_AccentedEnding,Variant_H28_Even_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,Even,Even,AccentedEnding,AccentedEnding
H28_Even_Flat,Base_H28_Even_Flat,Variant_H28_Even_Flat,Intensify,Fill,True,4.125,4.125,0.25,0.25,Even,Even,Flat,Flat
H28_Even_Increasing,Base_H28_Even_Increasing,Variant_H28_Even_Increasing,Intensify,Mirror,True,2.5,3.875,0.5,0.375,Even,Even,Increasing,Increasing
H28_FrontLoaded_AccentedEnding,Base_H28_FrontLoaded_AccentedEnding,Variant_H28_FrontLoaded_AccentedEnding,Mirror,Intensify,True,3.875,4,0.375,1.125,FrontLoaded,FrontLoaded,AccentedEnding,AccentedEnding
H28_FrontLoaded_Flat,Base_H28_FrontLoaded_Flat,Variant_H28_FrontLoaded_Flat,Intensify,Intensify,False,4.125,4.125,1,1,FrontLoaded,FrontLoaded,Flat,Flat
H28_FrontLoaded_Increasing,Base_H28_FrontLoaded_Increasing,Variant_H28_FrontLoaded_Increasing,Mirror,Mirror,False,3.875,3.875,0.375,0.375,FrontLoaded,FrontLoaded,Increasing,Increasing
H32_AnchorLed_AccentedEnding,Base_H32_AnchorLed_AccentedEnding,Variant_H32_AnchorLed_AccentedEnding,Fill,Fill,False,3.875,3.875,0.75,0.75,AnchorLed,AnchorLed,AccentedEnding,AccentedEnding
H32_AnchorLed_Flat,Base_H32_AnchorLed_Flat,Variant_H32_AnchorLed_Flat,Fill,Intensify,True,4.125,4.125,0.25,0.25,AnchorLed,AnchorLed,Flat,Flat
H32_AnchorLed_Increasing,Base_H32_AnchorLed_Increasing,Variant_H32_AnchorLed_Increasing,Fill,Fill,False,3.875,3.875,0.75,0.75,AnchorLed,AnchorLed,Increasing,Increasing
H32_BackLoaded_AccentedEnding,Base_H32_BackLoaded_AccentedEnding,Variant_H32_BackLoaded_AccentedEnding,Fill,Fill,False,3.875,3.875,0.75,0.75,BackLoaded,BackLoaded,AccentedEnding,AccentedEnding
H32_BackLoaded_Flat,Base_H32_BackLoaded_Flat,Variant_H32_BackLoaded_Flat,Fill,Intensify,True,4.125,4.625,0.25,0.75,BackLoaded,BackLoaded,Flat,Flat
H32_BackLoaded_Increasing,Base_H32_BackLoaded_Increasing,Variant_H32_BackLoaded_Increasing,Fill,Fill,False,3.875,3.875,0.75,0.75,BackLoaded,BackLoaded,Increasing,Increasing
H32_Clustered_AccentedEnding,Base_H32_Clustered_AccentedEnding,Variant_H32_Clustered_AccentedEnding,Fill,Contrast,True,3.875,3.25,0.25,0.25,Clustered,Clustered,AccentedEnding,AccentedEnding
H32_Clustered_Flat,Base_H32_Clustered_Flat,Variant_H32_Clustered_Flat,Intensify,Intensify,False,4.625,4.625,1.5,1.5,Clustered,Clustered,Flat,Flat
H32_Clustered_Increasing,Base_H32_Clustered_Increasing,Variant_H32_Clustered_Increasing,Fill,Intensify,True,3.875,4.625,0.25,0.75,Clustered,Clustered,Increasing,Increasing
H32_Even_AccentedEnding,Base_H32_Even_AccentedEnding,Variant_H32_Even_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,Even,Even,AccentedEnding,AccentedEnding
H32_Even_Flat,Base_H32_Even_Flat,Variant_H32_Even_Flat,Intensify,Fill,True,4.125,4.125,0.25,0.25,Even,Even,Flat,Flat
H32_Even_Increasing,Base_H32_Even_Increasing,Variant_H32_Even_Increasing,Intensify,Intensify,False,2.5,4.625,0.5,0.75,Even,Even,Increasing,Increasing
H32_FrontLoaded_AccentedEnding,Base_H32_FrontLoaded_AccentedEnding,Variant_H32_FrontLoaded_AccentedEnding,Mirror,Mirror,False,3.875,3.875,0.375,0.375,FrontLoaded,FrontLoaded,AccentedEnding,AccentedEnding
H32_FrontLoaded_Flat,Base_H32_FrontLoaded_Flat,Variant_H32_FrontLoaded_Flat,Intensify,Intensify,False,4.125,4.625,1,1.5,FrontLoaded,FrontLoaded,Flat,Flat
H32_FrontLoaded_Increasing,Base_H32_FrontLoaded_Increasing,Variant_H32_FrontLoaded_Increasing,Intensify,Intensify,False,4,4,1.125,1.125,FrontLoaded,FrontLoaded,Increasing,Increasing
H36_AnchorLed_AccentedEnding,Base_H36_AnchorLed_AccentedEnding,Variant_H36_AnchorLed_AccentedEnding,Complement,Mirror,True,4.5,4.375,1.375,0.5,AnchorLed,AnchorLed,AccentedEnding,AccentedEnding
H36_AnchorLed_Flat,Base_H36_AnchorLed_Flat,Variant_H36_AnchorLed_Flat,Complement,Complement,False,6,6.75,0.875,0.5,AnchorLed,AnchorLed,Flat,Flat
H36_AnchorLed_Increasing,Base_H36_AnchorLed_Increasing,Variant_H36_AnchorLed_Increasing,Complement,Complement,False,4.5,4.5,1.375,1.375,AnchorLed,AnchorLed,Increasing,Increasing
H36_BackLoaded_AccentedEnding,Base_H36_BackLoaded_AccentedEnding,Variant_H36_BackLoaded_AccentedEnding,Mirror,Mirror,False,4.375,4.375,0.5,0.5,BackLoaded,BackLoaded,AccentedEnding,AccentedEnding
H36_BackLoaded_Flat,Base_H36_BackLoaded_Flat,Variant_H36_BackLoaded_Flat,Mirror,Mirror,False,6.375,6.375,1,1,BackLoaded,BackLoaded,Flat,Flat
H36_BackLoaded_Increasing,Base_H36_BackLoaded_Increasing,Variant_H36_BackLoaded_Increasing,Mirror,Mirror,False,4.375,4.375,0.5,0.5,BackLoaded,BackLoaded,Increasing,Increasing
H36_Clustered_AccentedEnding,Base_H36_Clustered_AccentedEnding,Variant_H36_Clustered_AccentedEnding,Contrast,Contrast,False,3.875,3.875,0.875,0.875,Clustered,Clustered,AccentedEnding,AccentedEnding
H36_Clustered_Flat,Base_H36_Clustered_Flat,Variant_H36_Clustered_Flat,Mirror,Complement,True,5.25,4.5,0,0.375,Clustered,Clustered,Flat,Flat
H36_Clustered_Increasing,Base_H36_Clustered_Increasing,Variant_H36_Clustered_Increasing,Contrast,Complement,True,3.875,4.5,0.875,0.375,Clustered,Clustered,Increasing,Increasing
H36_Even_AccentedEnding,Base_H36_Even_AccentedEnding,Variant_H36_Even_AccentedEnding,Mirror,Mirror,False,4.375,4.375,0.5,0.5,Even,Even,AccentedEnding,AccentedEnding
H36_Even_Flat,Base_H36_Even_Flat,Variant_H36_Even_Flat,Complement,Complement,False,6.75,6,0.5,0.875,Even,Even,Flat,Flat
H36_Even_Increasing,Base_H36_Even_Increasing,Variant_H36_Even_Increasing,Mirror,Mirror,False,4.375,4.375,0.5,0.5,Even,Even,Increasing,Increasing
H36_FrontLoaded_AccentedEnding,Base_H36_FrontLoaded_AccentedEnding,Variant_H36_FrontLoaded_AccentedEnding,Mirror,Mirror,False,6.375,6.375,1,1,FrontLoaded,FrontLoaded,AccentedEnding,AccentedEnding
H36_FrontLoaded_Flat,Base_H36_FrontLoaded_Flat,Variant_H36_FrontLoaded_Flat,Complement,Complement,False,6,6,0.875,0.875,FrontLoaded,FrontLoaded,Flat,Flat
H36_FrontLoaded_Increasing,Base_H36_FrontLoaded_Increasing,Variant_H36_FrontLoaded_Increasing,Mirror,Complement,True,5.375,4.5,1.5,0.375,FrontLoaded,FrontLoaded,Increasing,Increasing
H40_AnchorLed_AccentedEnding,Base_H40_AnchorLed_AccentedEnding,Variant_H40_AnchorLed_AccentedEnding,Complement,Complement,False,4.5,4.5,1.375,1.375,AnchorLed,AnchorLed,AccentedEnding,AccentedEnding
H40_AnchorLed_Flat,Base_H40_AnchorLed_Flat,Variant_H40_AnchorLed_Flat,Complement,Complement,False,6,6,0.875,0.875,AnchorLed,AnchorLed,Flat,Flat
H40_AnchorLed_Increasing,Base_H40_AnchorLed_Increasing,Variant_H40_AnchorLed_Increasing,Complement,Complement,False,4.5,4.5,1.375,1.375,AnchorLed,AnchorLed,Increasing,Increasing
H40_BackLoaded_AccentedEnding,Base_H40_BackLoaded_AccentedEnding,Variant_H40_BackLoaded_AccentedEnding,Mirror,Mirror,False,4.375,4.375,0.5,0.5,BackLoaded,BackLoaded,AccentedEnding,AccentedEnding
H40_BackLoaded_Flat,Base_H40_BackLoaded_Flat,Variant_H40_BackLoaded_Flat,Mirror,Mirror,False,6.375,6.375,1,1,BackLoaded,BackLoaded,Flat,Flat
H40_BackLoaded_Increasing,Base_H40_BackLoaded_Increasing,Variant_H40_BackLoaded_Increasing,Mirror,Mirror,False,4.375,4.375,0.5,0.5,BackLoaded,BackLoaded,Increasing,Increasing
H40_Clustered_AccentedEnding,Base_H40_Clustered_AccentedEnding,Variant_H40_Clustered_AccentedEnding,Contrast,Contrast,False,3.875,3.875,0.875,0.5,Clustered,Clustered,AccentedEnding,AccentedEnding
H40_Clustered_Flat,Base_H40_Clustered_Flat,Variant_H40_Clustered_Flat,Mirror,Mirror,False,5.25,5.25,0,0,Clustered,Clustered,Flat,Flat
H40_Clustered_Increasing,Base_H40_Clustered_Increasing,Variant_H40_Clustered_Increasing,Contrast,Contrast,False,3.875,3.875,0.875,0.875,Clustered,Clustered,Increasing,Increasing
H40_Even_AccentedEnding,Base_H40_Even_AccentedEnding,Variant_H40_Even_AccentedEnding,Complement,Complement,False,4.5,4.5,1.375,1.375,Even,Even,AccentedEnding,AccentedEnding
H40_Even_Flat,Base_H40_Even_Flat,Variant_H40_Even_Flat,Complement,Complement,False,6.75,6,0.5,0.875,Even,Even,Flat,Flat
H40_Even_Increasing,Base_H40_Even_Increasing,Variant_H40_Even_Increasing,Contrast,Contrast,False,3.875,3.875,0.875,0.875,Even,Even,Increasing,Increasing
H40_FrontLoaded_AccentedEnding,Base_H40_FrontLoaded_AccentedEnding,Variant_H40_FrontLoaded_AccentedEnding,Mirror,Mirror,False,6.375,6.375,1,1,FrontLoaded,FrontLoaded,AccentedEnding,AccentedEnding
H40_FrontLoaded_Flat,Base_H40_FrontLoaded_Flat,Variant_H40_FrontLoaded_Flat,Complement,Complement,False,6,6,0.875,0.875,FrontLoaded,FrontLoaded,Flat,Flat
H40_FrontLoaded_Increasing,Base_H40_FrontLoaded_Increasing,Variant_H40_FrontLoaded_Increasing,Mirror,Complement,True,5.375,4.5,1.5,0.375,FrontLoaded,FrontLoaded,Increasing,Increasing
H44_AnchorLed_AccentedEnding,Base_H44_AnchorLed_AccentedEnding,Variant_H44_AnchorLed_AccentedEnding,Complement,Mirror,True,4.5,4.375,1.375,0.5,AnchorLed,AnchorLed,AccentedEnding,AccentedEnding
