CaseId,StructureType,EnergyProfile,VariantKind,ParentCaseId,GenerationMode,VariantSeed,NominalHitCount,ActualHitCount,StepCount,Density,MeanEnergy,PeakEnergy,AnchorCount,HasOpeningAnchor,HasClosingAnchor,EndDensity,EndEnergy,EndAccent,DensityShape,EnergyShape,SelectedResponseType,TargetDensity,ComplementarityBias,PreserveAnchors,MirrorEnding,SnapshotSelectedResponseType,PlannerDescriptorSummary,PlannerSourceDensity,PlannerSourceEnergy,Score_Mirror,Score_Complement,Score_Simplify,Score_Intensify,Score_Contrast,Score_Fill
Base_H08_FrontLoaded_AccentedEnding,FrontLoaded,AccentedEnding,Base,,BasePlusVariants,,8,8,96,0.083333,90.5,110,4,True,True,0.083333,110,110,FrontLoaded,Increasing,Intensify,0.240833,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.712598,1.875,1,-0.125,2.5,1.75,2
Variant_H08_FrontLoaded_AccentedEnding,FrontLoaded,AccentedEnding,Variant,Base_H08_FrontLoaded_AccentedEnding,BasePlusVariants,501337587,8,8,96,0.083333,90,113,4,True,True,0.083333,111,113,FrontLoaded,BackLoaded,Intensify,0.240833,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.708661,1.875,1,-0.125,2.5,1.75,2
Base_H08_BackLoaded_Flat,BackLoaded,Flat,Base,,BasePlusVariants,,8,8,96,0.083333,84,84,2,True,False,0.125,84,84,Increasing,Flat,Fill,0.283333,0.65,False,False,Fill,"Sparse, MediumEnergy, MeaningfulAnchors, BackLoaded, PredictableProfile",0.083333,0.661417,2.625,3.125,-2.125,4.125,0.75,3.875
Variant_H08_BackLoaded_Flat,BackLoaded,Flat,Variant,Base_H08_BackLoaded_Flat,BasePlusVariants,920558944,8,8,96,0.083333,82.75,87,2,True,False,0.125,82.33334,84,BackLoaded,BackLoaded,Fill,0.283333,0.65,False,False,Fill,"Sparse, MediumEnergy, MeaningfulAnchors, BackLoaded, PredictableProfile",0.083333,0.651575,2.625,3.125,-2.125,4.125,0.75,3.875
Base_H08_BackLoaded_Increasing,BackLoaded,Increasing,Base,,BasePlusVariants,,8,8,96,0.083333,91.5,108,5,True,True,0.125,103.3333,108,Increasing,Increasing,Intensify,0.240833,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.720473,1.875,1,-0.125,2.5,1.75,2
Variant_H08_BackLoaded_Increasing,BackLoaded,Increasing,Variant,Base_H08_BackLoaded_Increasing,BasePlusVariants,88631280,8,8,96,0.083333,92.875,106,3,False,False,0.125,104.3333,106,Increasing,Increasing,Fill,0.283333,0.7,False,False,Fill,"Sparse, HighEnergy, BackLoaded, PredictableProfile",0.083333,0.731299,-0.375,0.125,-0.125,3.625,3.25,3.875
Base_H08_BackLoaded_AccentedEnding,BackLoaded,AccentedEnding,Base,,BasePlusVariants,,8,8,96,0.083333,93.75,110,4,True,True,0.125,110,110,Increasing,Increasing,Intensify,0.240833,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.738189,1.875,1,-0.125,2.5,1.75,2
Variant_H08_BackLoaded_AccentedEnding,BackLoaded,AccentedEnding,Variant,Base_H08_BackLoaded_AccentedEnding,BasePlusVariants,1360509727,8,8,96,0.083333,93.75,114,4,True,True,0.125,109.3333,114,Increasing,BackLoaded,Intensify,0.240833,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.738189,1.875,1,-0.125,2.5,1.75,2
Base_H08_Clustered_Flat,Clustered,Flat,Base,,BasePlusVariants,,8,8,96,0.083333,84,84,0,False,False,0.083333,84,84,MidDip,BackLoaded,Intensify,0.253333,0.55,False,False,Intensify,"Sparse, MediumEnergy, BackLoaded, PredictableProfile",0.083333,0.661417,1.625,1.625,-2.125,4.625,2.25,3.875
Variant_H08_Clustered_Flat,Clustered,Flat,Variant,Base_H08_Clustered_Flat,BasePlusVariants,1369231571,8,8,96,0.083333,83.25,88,0,False,False,0.083333,81,82,MidDip,MidDip,Intensify,0.253333,0.55,False,False,Intensify,"Sparse, MediumEnergy, BalancedProfile",0.083333,0.655512,2.75,2.375,-2.5,4.625,-0.25,3.125
Base_H08_Clustered_Increasing,Clustered,Increasing,Base,,BasePlusVariants,,8,8,96,0.083333,88.125,99,0,False,False,0.083333,99,99,MidDip,BackLoaded,Intensify,0.253333,0.55,False,False,Intensify,"Sparse, MediumEnergy, BackLoaded, PredictableProfile",0.083333,0.693898,1.625,1.625,-2.125,4.625,2.25,3.875
Variant_H08_Clustered_Increasing,Clustered,Increasing,Variant,Base_H08_Clustered_Increasing,BasePlusVariants,2102197775,8,8,96,0.083333,86.375,98,0,False,False,0.083333,97,98,MidDip,BackLoaded,Intensify,0.253333,0.55,False,False,Intensify,"Sparse, MediumEnergy, BackLoaded, PredictableProfile",0.083333,0.680118,1.625,1.625,-2.125,4.625,2.25,3.875
Base_H08_Clustered_AccentedEnding,Clustered,AccentedEnding,Base,,BasePlusVariants,,8,8,96,0.083333,90.5,110,1,False,False,0.083333,110,110,MidDip,BackLoaded,Fill,0.283333,0.7,False,False,Fill,"Sparse, HighEnergy, BackLoaded, PredictableProfile",0.083333,0.712598,-0.375,0.125,-0.125,3.625,3.25,3.875
Variant_H08_Clustered_AccentedEnding,Clustered,AccentedEnding,Variant,Base_H08_Clustered_AccentedEnding,BasePlusVariants,2065625736,8,8,96,0.083333,90.125,112,1,False,False,0.083333,111.5,112,MidDip,BackLoaded,Fill,0.283333,0.7,False,False,Fill,"Sparse, HighEnergy, BackLoaded, PredictableProfile",0.083333,0.709646,-0.375,0.125,-0.125,3.625,3.25,3.875
Base_H08_AnchorLed_Flat,AnchorLed,Flat,Base,,BasePlusVariants,,8,8,96,0.083333,90,100,2,True,False,0.083333,92,100,MidDip,BackLoaded,Fill,0.283333,0.65,False,False,Fill,"Sparse, HighEnergy, MeaningfulAnchors, BackLoaded, PredictableProfile",0.083333,0.708661,0.625,1.625,-0.125,3.125,1.75,3.875
Variant_H08_AnchorLed_Flat,AnchorLed,Flat,Variant,Base_H08_AnchorLed_Flat,BasePlusVariants,391454420,8,8,96,0.083333,89.75,103,2,True,False,0.083333,91.5,102,MidDip,BackLoaded,Fill,0.283333,0.65,False,False,Fill,"Sparse, HighEnergy, MeaningfulAnchors, BackLoaded, PredictableProfile",0.083333,0.706693,0.625,1.625,-0.125,3.125,1.75,3.875
Base_H08_AnchorLed_Increasing,AnchorLed,Increasing,Base,,BasePlusVariants,,8,8,96,0.083333,92.875,124,3,True,True,0.083333,116,124,MidDip,Increasing,Intensify,0.240833,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.731299,1.875,1,-0.125,2.5,1.75,2
Variant_H08_AnchorLed_Increasing,AnchorLed,Increasing,Variant,Base_H08_AnchorLed_Increasing,BasePlusVariants,2045475004,8,8,96,0.083333,93.375,126,3,True,True,0.083333,116.5,126,MidDip,Increasing,Intensify,0.240833,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.735236,1.875,1,-0.125,2.5,1.75,2
Base_H08_AnchorLed_AccentedEnding,AnchorLed,AccentedEnding,Base,,BasePlusVariants,,8,8,96,0.083333,96.5,126,3,True,True,0.083333,118,126,MidDip,BackLoaded,Intensify,0.240833,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.759843,1.875,1,-0.125,2.5,1.75,2
Variant_H08_AnchorLed_AccentedEnding,AnchorLed,AccentedEnding,Variant,Base_H08_AnchorLed_AccentedEnding,BasePlusVariants,219992155,8,8,96,0.083333,97.875,127,3,True,True,0.083333,118.5,127,MidDip,BackLoaded,Intensify,0.240833,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.770669,1.875,1,-0.125,2.5,1.75,2
Base_H12_Even_Flat,Even,Flat,Base,,BasePlusVariants,,12,12,96,0.125,84,84,1,True,False,0.125,84,84,Flat,Flat,Intensify,0.295,0.5,False,False,Intensify,"Sparse, MediumEnergy, MeaningfulAnchors, BalancedProfile",0.125,0.661417,3.75,3.875,-2.5,4.125,-0.25,3.125
Variant_H12_Even_Flat,Even,Flat,Variant,Base_H12_Even_Flat,BasePlusVariants,1727325925,12,12,96,0.125,84.16666,88,1,True,False,0.125,84,88,Flat,FrontLoaded,Intensify,0.295,0.5,False,False,Intensify,"Sparse, MediumEnergy, MeaningfulAnchors, FrontLoaded, PredictableProfile",0.125,0.66273,2.625,3.125,-2.125,4.125,0.75,3.125
Base_H12_Even_Increasing,Even,Increasing,Base,,BasePlusVariants,,12,12,96,0.125,89,108,3,True,True,0.125,104.3333,108,Flat,Increasing,Intensify,0.2825,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.700787,1.875,1,-0.125,2.5,1.75,2
Variant_H12_Even_Increasing,Even,Increasing,Variant,Base_H12_Even_Increasing,BasePlusVariants,1045936341,12,12,96,0.125,89.66666,110,3,True,True,0.125,106,110,Flat,Increasing,Intensify,0.2825,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.706037,1.875,1,-0.125,2.5,1.75,2
Base_H12_Even_AccentedEnding,Even,AccentedEnding,Base,,BasePlusVariants,,12,12,96,0.125,90.5,110,2,True,True,0.125,110,110,Flat,Increasing,Intensify,0.2825,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.712598,1.875,1,-0.125,2.5,1.75,2
Variant_H12_Even_AccentedEnding,Even,AccentedEnding,Variant,Base_H12_Even_AccentedEnding,BasePlusVariants,115194166,12,12,96,0.125,90.91666,113,2,True,True,0.125,110.6667,113,Flat,BackLoaded,Intensify,0.2825,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.715879,1.875,1,-0.125,2.5,1.75,2
Base_H12_FrontLoaded_Flat,FrontLoaded,Flat,Base,,BasePlusVariants,,12,12,96,0.125,84,84,2,True,False,0.083333,84,84,Decreasing,Flat,Intensify,0.295,0.5,False,False,Intensify,"Sparse, MediumEnergy, MeaningfulAnchors, FrontLoaded, PredictableProfile",0.125,0.661417,2.625,3.125,-2.125,4.125,0.75,3.125
Variant_H12_FrontLoaded_Flat,FrontLoaded,Flat,Variant,Base_H12_FrontLoaded_Flat,BasePlusVariants,87514193,12,12,96,0.125,83.08334,88,2,True,False,0.083333,82.5,85,Decreasing,MidPeak,Intensify,0.295,0.5,False,False,Intensify,"Sparse, MediumEnergy, MeaningfulAnchors, FrontLoaded, PredictableProfile",0.125,0.6542,2.625,3.125,-2.125,4.125,0.75,3.125
Base_H12_FrontLoaded_Increasing,FrontLoaded,Increasing,Base,,BasePlusVariants,,12,12,96,0.125,85.91666,108,3,True,True,0.083333,105,108,Decreasing,Increasing,Mirror,0.1375,0.225,True,True,Mirror,"Sparse, MediumEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.676509,3.875,2.5,-2.125,3.5,0.75,2
Variant_H12_FrontLoaded_Increasing,FrontLoaded,Increasing,Variant,Base_H12_FrontLoaded_Increasing,BasePlusVariants,349092153,12,12,96,0.125,85.83334,109,3,True,True,0.083333,106,109,Decreasing,Increasing,Mirror,0.1375,0.225,True,True,Mirror,"Sparse, MediumEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.675853,3.875,2.5,-2.125,3.5,0.75,2
Base_H12_FrontLoaded_AccentedEnding,FrontLoaded,AccentedEnding,Base,,BasePlusVariants,,12,12,96,0.125,88.33334,110,3,True,True,0.083333,110,110,Decreasing,Increasing,Mirror,0.1375,0.225,True,True,Mirror,"Sparse, MediumEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.695538,3.875,2.5,-2.125,3.5,0.75,2
Variant_H12_FrontLoaded_AccentedEnding,FrontLoaded,AccentedEnding,Variant,Base_H12_FrontLoaded_AccentedEnding,BasePlusVariants,1362002602,12,12,96,0.125,88,112,3,True,True,0.083333,111.5,112,Decreasing,BackLoaded,Mirror,0.1375,0.225,True,True,Mirror,"Sparse, MediumEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.692913,3.875,2.5,-2.125,3.5,0.75,2
Base_H12_BackLoaded_Flat,BackLoaded,Flat,Base,,BasePlusVariants,,12,12,96,0.125,84,84,2,True,False,0.166667,84,84,Increasing,Flat,Fill,0.325,0.65,False,False,Fill,"Sparse, MediumEnergy, MeaningfulAnchors, BackLoaded, PredictableProfile",0.125,0.661417,2.625,3.125,-2.125,4.125,0.75,3.875
Variant_H12_BackLoaded_Flat,BackLoaded,Flat,Variant,Base_H12_BackLoaded_Flat,BasePlusVariants,509216299,12,12,96,0.125,84.25,88,2,True,False,0.166667,85,88,Increasing,BackLoaded,Fill,0.325,0.65,False,False,Fill,"Sparse, MediumEnergy, MeaningfulAnchors, BackLoaded, PredictableProfile",0.125,0.663386,2.625,3.125,-2.125,4.125,0.75,3.875
Base_H12_BackLoaded_Increasing,BackLoaded,Increasing,Base,,BasePlusVariants,,12,12,96,0.125,92.08334,108,3,True,True,0.166667,104,108,Increasing,Increasing,Intensify,0.2825,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.725066,1.875,1,-0.125,2.5,1.75,2
Variant_H12_BackLoaded_Increasing,BackLoaded,Increasing,Variant,Base_H12_BackLoaded_Increasing,BasePlusVariants,570231127,12,12,96,0.125,91.83334,107,2,True,True,0.166667,102.25,107,Increasing,Increasing,Intensify,0.2825,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.723097,1.875,1,-0.125,2.5,1.75,2
Base_H12_BackLoaded_AccentedEnding,BackLoaded,AccentedEnding,Base,,BasePlusVariants,,12,12,96,0.125,92.66666,110,3,True,True,0.166667,110,110,Increasing,Increasing,Intensify,0.2825,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.729659,1.875,1,-0.125,2.5,1.75,2
Variant_H12_BackLoaded_AccentedEnding,BackLoaded,AccentedEnding,Variant,Base_H12_BackLoaded_AccentedEnding,BasePlusVariants,1035149232,12,12,96,0.125,92.66666,112,3,True,True,0.166667,110.25,112,Increasing,BackLoaded,Intensify,0.2825,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.729659,1.875,1,-0.125,2.5,1.75,2
Base_H12_Clustered_Flat,Clustered,Flat,Base,,BasePlusVariants,,12,12,96,0.125,84,84,1,True,False,0.166667,84,84,MidDip,Flat,Intensify,0.295,0.55,False,False,Intensify,"Sparse, MediumEnergy, BalancedProfile",0.125,0.661417,2.75,2.375,-2.5,4.625,-0.25,3.125
Variant_H12_Clustered_Flat,Clustered,Flat,Variant,Base_H12_Clustered_Flat,BasePlusVariants,196539974,12,12,96,0.125,82.66666,88,2,True,False,0.166667,83.75,88,MidDip,Increasing,Intensify,0.295,0.55,False,False,Intensify,"Sparse, MediumEnergy, BackLoaded, PredictableProfile",0.125,0.650919,1.625,1.625,-2.125,4.625,2.25,3.875
Base_H12_Clustered_Increasing,Clustered,Increasing,Base,,BasePlusVariants,,12,12,96,0.125,89,103,0,False,False,0.166667,102.5,103,MidDip,Increasing,Fill,0.325,0.7,False,False,Fill,"Sparse, HighEnergy, BackLoaded, PredictableProfile",0.125,0.700787,-0.375,0.125,-0.125,3.625,3.25,3.875
Variant_H12_Clustered_Increasing,Clustered,Increasing,Variant,Base_H12_Clustered_Increasing,BasePlusVariants,1832944330,12,12,96,0.125,88.83334,103,1,False,False,0.166667,102.25,103,MidDip,Increasing,Intensify,0.295,0.55,False,False,Intensify,"Sparse, MediumEnergy, BackLoaded, PredictableProfile",0.125,0.699475,1.625,1.625,-2.125,4.625,2.25,3.875
Base_H12_Clustered_AccentedEnding,Clustered,AccentedEnding,Base,,BasePlusVariants,,12,12,96,0.125,92.66666,110,1,True,False,0.166667,110,110,MidDip,Increasing,Fill,0.325,0.7,False,False,Fill,"Sparse, HighEnergy, BackLoaded, PredictableProfile",0.125,0.729659,-0.375,0.125,-0.125,3.625,3.25,3.875
Variant_H12_Clustered_AccentedEnding,Clustered,AccentedEnding,Variant,Base_H12_Clustered_AccentedEnding,BasePlusVariants,281699945,12,12,96,0.125,93.08334,114,1,True,False,0.166667,109,114,MidDip,Increasing,Fill,0.325,0.7,False,False,Fill,"Sparse, HighEnergy, BackLoaded, PredictableProfile",0.125,0.73294,-0.375,0.125,-0.125,3.625,3.25,3.875
Base_H12_AnchorLed_Flat,AnchorLed,Flat,Base,,BasePlusVariants,,12,12,96,0.125,88,100,2,True,False,0.125,89.33334,100,MidDip,BackLoaded,Fill,0.325,0.65,False,False,Fill,"Sparse, MediumEnergy, MeaningfulAnchors, BackLoaded, PredictableProfile",0.125,0.692913,2.625,3.125,-2.125,4.125,0.75,3.875
Variant_H12_AnchorLed_Flat,AnchorLed,Flat,Variant,Base_H12_AnchorLed_Flat,BasePlusVariants,1405328845,12,12,96,0.125,88.33334,104,2,True,False,0.125,91.33334,104,MidDip,BackLoaded,Fill,0.325,0.65,False,False,Fill,"Sparse, MediumEnergy, MeaningfulAnchors, BackLoaded, PredictableProfile",0.125,0.695538,2.625,3.125,-2.125,4.125,0.75,3.875
Base_H12_AnchorLed_Increasing,AnchorLed,Increasing,Base,,BasePlusVariants,,12,12,96,0.125,91.58334,124,2,True,False,0.125,113,124,MidDip,Increasing,Fill,0.325,0.65,False,False,Fill,"Sparse, HighEnergy, MeaningfulAnchors, BackLoaded, PredictableProfile",0.125,0.721129,0.625,1.625,-0.125,3.125,1.75,3.875
Variant_H12_AnchorLed_Increasing,AnchorLed,Increasing,Variant,Base_H12_AnchorLed_Increasing,BasePlusVariants,1579706381,12,12,96,0.125,92,121,2,True,False,0.125,111.6667,121,MidDip,Increasing,Fill,0.325,0.65,False,False,Fill,"Sparse, HighEnergy, MeaningfulAnchors, BackLoaded, PredictableProfile",0.125,0.72441,0.625,1.625,-0.125,3.125,1.75,3.875
Base_H12_AnchorLed_AccentedEnding,AnchorLed,AccentedEnding,Base,,BasePlusVariants,,12,12,96,0.125,94.5,126,2,True,False,0.125,115.3333,126,MidDip,BackLoaded,Fill,0.325,0.65,False,False,Fill,"Sparse, HighEnergy, MeaningfulAnchors, BackLoaded, PredictableProfile",0.125,0.744095,0.625,1.625,-0.125,3.125,1.75,3.875
Variant_H12_AnchorLed_AccentedEnding,AnchorLed,AccentedEnding,Variant,Base_H12_AnchorLed_AccentedEnding,BasePlusVariants,1143834638,12,12,96,0.125,94.66666,125,3,True,True,0.125,114.6667,125,MidDip,BackLoaded,Intensify,0.2825,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.125,0.745407,1.875,1,-0.125,2.5,1.75,2
Base_H16_Even_Flat,Even,Flat,Base,,BasePlusVariants,,16,16,96,0.166667,84,84,1,True,False,0.166667,84,84,Flat,Flat,Intensify,0.336667,0.5,False,False,Intensify,"Sparse, MediumEnergy, MeaningfulAnchors, BalancedProfile",0.166667,0.661417,3.75,3.875,-2.5,4.125,-0.25,3.125
Variant_H16_Even_Flat,Even,Flat,Variant,Base_H16_Even_Flat,BasePlusVariants,304924937,16,16,96,0.166667,84.25,88,1,True,False,0.166667,83.25,87,Flat,FrontLoaded,Intensify,0.336667,0.5,False,False,Intensify,"Sparse, MediumEnergy, MeaningfulAnchors, FrontLoaded, PredictableProfile",0.166667,0.663386,2.625,3.125,-2.125,4.125,0.75,3.125
Base_H16_Even_Increasing,Even,Increasing,Base,,BasePlusVariants,,16,16,96,0.166667,89,108,2,True,True,0.166667,104.25,108,Flat,Increasing,Intensify,0.324167,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.166667,0.700787,1.875,1,-0.125,2.5,1.75,2
Variant_H16_Even_Increasing,Even,Increasing,Variant,Base_H16_Even_Increasing,BasePlusVariants,1555178945,16,16,96,0.166667,89.25,109,3,True,True,0.208333,103,109,MidDip,Increasing,Intensify,0.324167,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.166667,0.702756,1.875,1,-0.125,2.5,1.75,2
Base_H16_Even_AccentedEnding,Even,AccentedEnding,Base,,BasePlusVariants,,16,16,96,0.166667,90.5,110,2,True,True,0.166667,110,110,Flat,Increasing,Intensify,0.324167,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.166667,0.712598,1.875,1,-0.125,2.5,1.75,2
Variant_H16_Even_AccentedEnding,Even,AccentedEnding,Variant,Base_H16_Even_AccentedEnding,BasePlusVariants,489620274,16,16,96,0.166667,91.4375,112,2,True,True,0.166667,109.5,112,Flat,BackLoaded,Intensify,0.324167,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.166667,0.71998,1.875,1,-0.125,2.5,1.75,2
Base_H16_FrontLoaded_Flat,FrontLoaded,Flat,Base,,BasePlusVariants,,16,16,96,0.166667,84,84,2,True,False,0.125,84,84,FrontLoaded,Flat,Intensify,0.336667,0.5,False,False,Intensify,"Sparse, MediumEnergy, MeaningfulAnchors, FrontLoaded, PredictableProfile",0.166667,0.661417,2.625,3.125,-2.125,4.125,0.75,3.125
Variant_H16_FrontLoaded_Flat,FrontLoaded,Flat,Variant,Base_H16_FrontLoaded_Flat,BasePlusVariants,52609749,16,16,96,0.166667,83.3125,88,2,True,False,0.125,84.66666,87,FrontLoaded,MidDip,Intensify,0.336667,0.5,False,False,Intensify,"Sparse, MediumEnergy, MeaningfulAnchors, FrontLoaded, PredictableProfile",0.166667,0.656004,2.625,3.125,-2.125,4.125,0.75,3.125
Base_H16_FrontLoaded_Increasing,FrontLoaded,Increasing,Base,,BasePlusVariants,,16,16,96,0.166667,85.5,108,5,True,True,0.125,103.3333,108,FrontLoaded,Increasing,Mirror,0.179167,0.225,True,True,Mirror,"Sparse, MediumEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.166667,0.673228,3.875,2.5,-2.125,3.5,0.75,2
