CaseID,ResponseTypeA,ResponseTypeB,JaccardDistance
Base_H08_AnchorLed_Increasing,Contrast,Fill,0.411765
Base_H08_BackLoaded_AccentedEnding,Mirror,Complement,0.823529
Base_H08_BackLoaded_AccentedEnding,Mirror,Simplify,0.3
Base_H08_BackLoaded_AccentedEnding,Mirror,Intensify,0.590909
Base_H08_BackLoaded_AccentedEnding,Mirror,Contrast,0.823529
Base_H08_BackLoaded_AccentedEnding,Mirror,Fill,0.75
Base_H08_BackLoaded_AccentedEnding,Complement,Simplify,0.866667
Base_H08_BackLoaded_AccentedEnding,Complement,Intensify,0.708333
Base_H08_BackLoaded_AccentedEnding,Complement,Contrast,0.461538
Base_H08_BackLoaded_AccentedEnding,Complement,Fill,0.653846
Base_H08_BackLoaded_AccentedEnding,Simplify,Intensify,0.666667
Base_H08_BackLoaded_AccentedEnding,Simplify,Contrast,0.866667
Base_H08_BackLoaded_AccentedEnding,Simplify,Fill,0.769231
Base_H08_BackLoaded_AccentedEnding,Intensify,Contrast,0.708333
Base_H08_BackLoaded_AccentedEnding,Intensify,Fill,0.357143
Base_H08_BackLoaded_AccentedEnding,Contrast,Fill,0.6
Base_H08_BackLoaded_Flat,Mirror,Complement,0.823529
Base_H08_BackLoaded_Flat,Mirror,Simplify,0.4
Base_H08_BackLoaded_Flat,Mirror,Intensify,0.590909
Base_H08_BackLoaded_Flat,Mirror,Contrast,0.75
Base_H08_BackLoaded_Flat,Mirror,Fill,0.724138
Base_H08_BackLoaded_Flat,Complement,Simplify,0.857143
Base_H08_BackLoaded_Flat,Complement,Intensify,0.652174
Base_H08_BackLoaded_Flat,Complement,Contrast,0.461538
Base_H08_BackLoaded_Flat,Complement,Fill,0.678571
Base_H08_BackLoaded_Flat,Simplify,Intensify,0.714286
Base_H08_BackLoaded_Flat,Simplify,Contrast,0.857143
Base_H08_BackLoaded_Flat,Simplify,Fill,0.777778
Base_H08_BackLoaded_Flat,Intensify,Contrast,0.652174
Base_H08_BackLoaded_Flat,Intensify,Fill,0.4
Base_H08_BackLoaded_Flat,Contrast,Fill,0.62963
Base_H08_BackLoaded_Increasing,Mirror,Complement,0.823529
Base_H08_BackLoaded_Increasing,Mirror,Simplify,0.3
Base_H08_BackLoaded_Increasing,Mirror,Intensify,0.590909
Base_H08_BackLoaded_Increasing,Mirror,Contrast,0.823529
Base_H08_BackLoaded_Increasing,Mirror,Fill,0.75
Base_H08_BackLoaded_Increasing,Complement,Simplify,0.866667
Base_H08_BackLoaded_Increasing,Complement,Intensify,0.708333
Base_H08_BackLoaded_Increasing,Complement,Contrast,0.461538
Base_H08_BackLoaded_Increasing,Complement,Fill,0.653846
Base_H08_BackLoaded_Increasing,Simplify,Intensify,0.666667
Base_H08_BackLoaded_Increasing,Simplify,Contrast,0.866667
Base_H08_BackLoaded_Increasing,Simplify,Fill,0.769231
Base_H08_BackLoaded_Increasing,Intensify,Contrast,0.708333
Base_H08_BackLoaded_Increasing,Intensify,Fill,0.357143
Base_H08_BackLoaded_Increasing,Contrast,Fill,0.6
Base_H08_Clustered_AccentedEnding,Mirror,Complement,0.733333
Base_H08_Clustered_AccentedEnding,Mirror,Simplify,0.8
Base_H08_Clustered_AccentedEnding,Mirror,Intensify,0.375
Base_H08_Clustered_AccentedEnding,Mirror,Contrast,0.8125
Base_H08_Clustered_AccentedEnding,Mirror,Fill,0.526316
Base_H08_Clustered_AccentedEnding,Complement,Simplify,0.9
Base_H08_Clustered_AccentedEnding,Complement,Intensify,0.684211
Base_H08_Clustered_AccentedEnding,Complement,Contrast,0.5
Base_H08_Clustered_AccentedEnding,Complement,Fill,0.578947
Base_H08_Clustered_AccentedEnding,Simplify,Intensify,0.875
Base_H08_Clustered_AccentedEnding,Simplify,Contrast,0.9
Base_H08_Clustered_AccentedEnding,Simplify,Fill,0.888889
Base_H08_Clustered_AccentedEnding,Intensify,Contrast,0.684211
Base_H08_Clustered_AccentedEnding,Intensify,Fill,0.210526
Base_H08_Clustered_AccentedEnding,Contrast,Fill,0.5
Base_H08_Clustered_Flat,Mirror,Complement,0.733333
Base_H08_Clustered_Flat,Mirror,Simplify,0.8
Base_H08_Clustered_Flat,Mirror,Intensify,0.375
Base_H08_Clustered_Flat,Mirror,Contrast,0.8125
Base_H08_Clustered_Flat,Mirror,Fill,0.526316
Base_H08_Clustered_Flat,Complement,Simplify,0.9
Base_H08_Clustered_Flat,Complement,Intensify,0.684211
Base_H08_Clustered_Flat,Complement,Contrast,0.5
Base_H08_Clustered_Flat,Complement,Fill,0.578947
Base_H08_Clustered_Flat,Simplify,Intensify,0.875
Base_H08_Clustered_Flat,Simplify,Contrast,0.9
Base_H08_Clustered_Flat,Simplify,Fill,0.888889
Base_H08_Clustered_Flat,Intensify,Contrast,0.684211
Base_H08_Clustered_Flat,Intensify,Fill,0.210526
Base_H08_Clustered_Flat,Contrast,Fill,0.5
Base_H08_Clustered_Increasing,Mirror,Complement,0.733333
Base_H08_Clustered_Increasing,Mirror,Simplify,0.8
Base_H08_Clustered_Increasing,Mirror,Intensify,0.375
Base_H08_Clustered_Increasing,Mirror,Contrast,0.8125
Base_H08_Clustered_Increasing,Mirror,Fill,0.526316
Base_H08_Clustered_Increasing,Complement,Simplify,0.9
Base_H08_Clustered_Increasing,Complement,Intensify,0.684211
Base_H08_Clustered_Increasing,Complement,Contrast,0.5
Base_H08_Clustered_Increasing,Complement,Fill,0.578947
Base_H08_Clustered_Increasing,Simplify,Intensify,0.875
Base_H08_Clustered_Increasing,Simplify,Contrast,0.9
Base_H08_Clustered_Increasing,Simplify,Fill,0.888889
Base_H08_Clustered_Increasing,Intensify,Contrast,0.684211
Base_H08_Clustered_Increasing,Intensify,Fill,0.210526
Base_H08_Clustered_Increasing,Contrast,Fill,0.5
Base_H08_Even_AccentedEnding,Mirror,Complement,0.75
Base_H08_Even_AccentedEnding,Mirror,Simplify,0.4
Base_H08_Even_AccentedEnding,Mirror,Intensify,0.565217
Base_H08_Even_AccentedEnding,Mirror,Contrast,0.75
Base_H08_Even_AccentedEnding,Mirror,Fill,0.75
Base_H08_Even_AccentedEnding,Complement,Simplify,0.666667
Base_H08_Even_AccentedEnding,Complement,Intensify,0.68
Base_H08_Even_AccentedEnding,Complement,Contrast,0.461538
Base_H08_Even_AccentedEnding,Complement,Fill,0.653846
Base_H08_Even_AccentedEnding,Simplify,Intensify,0.73913
Base_H08_Even_AccentedEnding,Simplify,Contrast,0.666667
Base_H08_Even_AccentedEnding,Simplify,Fill,0.807692
Base_H08_Even_AccentedEnding,Intensify,Contrast,0.625
Base_H08_Even_AccentedEnding,Intensify,Fill,0.451613
Base_H08_Even_AccentedEnding,Contrast,Fill,0.6
Base_H08_Even_Flat,Mirror,Complement,0.666667
Base_H08_Even_Flat,Mirror,Simplify,0.5
Base_H08_Even_Flat,Mirror,Intensify,0.565217
Base_H08_Even_Flat,Mirror,Contrast,0.666667
Base_H08_Even_Flat,Mirror,Fill,0.703704
Base_H08_Even_Flat,Complement,Simplify,0.636364
Base_H08_Even_Flat,Complement,Intensify,0.68
Base_H08_Even_Flat,Complement,Contrast,0.461538
Base_H08_Even_Flat,Complement,Fill,0.653846
Base_H08_Even_Flat,Simplify,Intensify,0.782609
Base_H08_Even_Flat,Simplify,Contrast,0.636364
Base_H08_Even_Flat,Simplify,Fill,0.8
Base_H08_Even_Flat,Intensify,Contrast,0.625
Base_H08_Even_Flat,Intensify,Fill,0.451613
Base_H08_Even_Flat,Contrast,Fill,0.6
Base_H08_Even_Increasing,Mirror,Complement,0.75
Base_H08_Even_Increasing,Mirror,Simplify,0.4
Base_H08_Even_Increasing,Mirror,Intensify,0.565217
Base_H08_Even_Increasing,Mirror,Contrast,0.75
Base_H08_Even_Increasing,Mirror,Fill,0.75
Base_H08_Even_Increasing,Complement,Simplify,0.666667
Base_H08_Even_Increasing,Complement,Intensify,0.68
Base_H08_Even_Increasing,Complement,Contrast,0.461538
Base_H08_Even_Increasing,Complement,Fill,0.653846
Base_H08_Even_Increasing,Simplify,Intensify,0.73913
Base_H08_Even_Increasing,Simplify,Contrast,0.666667
Base_H08_Even_Increasing,Simplify,Fill,0.807692
Base_H08_Even_Increasing,Intensify,Contrast,0.625
Base_H08_Even_Increasing,Intensify,Fill,0.451613
Base_H08_Even_Increasing,Contrast,Fill,0.6
Base_H08_FrontLoaded_AccentedEnding,Mirror,Complement,0.823529
Base_H08_FrontLoaded_AccentedEnding,Mirror,Simplify,0.3
Base_H08_FrontLoaded_AccentedEnding,Mirror,Intensify,0.590909
Base_H08_FrontLoaded_AccentedEnding,Mirror,Contrast,0.823529
Base_H08_FrontLoaded_AccentedEnding,Mirror,Fill,0.75
Base_H08_FrontLoaded_AccentedEnding,Complement,Simplify,0.866667
Base_H08_FrontLoaded_AccentedEnding,Complement,Intensify,0.652174
Base_H08_FrontLoaded_AccentedEnding,Complement,Contrast,0.571429
Base_H08_FrontLoaded_AccentedEnding,Complement,Fill,0.653846
Base_H08_FrontLoaded_AccentedEnding,Simplify,Intensify,0.666667
Base_H08_FrontLoaded_AccentedEnding,Simplify,Contrast,0.866667
Base_H08_FrontLoaded_AccentedEnding,Simplify,Fill,0.769231
Base_H08_FrontLoaded_AccentedEnding,Intensify,Contrast,0.652174
Base_H08_FrontLoaded_AccentedEnding,Intensify,Fill,0.413793
Base_H08_FrontLoaded_AccentedEnding,Contrast,Fill,0.6
Base_H08_FrontLoaded_Flat,Mirror,Complement,0.75
Base_H08_FrontLoaded_Flat,Mirror,Simplify,0.4
Base_H08_FrontLoaded_Flat,Mirror,Intensify,0.590909
Base_H08_FrontLoaded_Flat,Mirror,Contrast,0.75
Base_H08_FrontLoaded_Flat,Mirror,Fill,0.703704
Base_H08_FrontLoaded_Flat,Complement,Simplify,0.857143
Base_H08_FrontLoaded_Flat,Complement,Intensify,0.652174
Base_H08_FrontLoaded_Flat,Complement,Contrast,0.571429
Base_H08_FrontLoaded_Flat,Complement,Fill,0.653846
Base_H08_FrontLoaded_Flat,Simplify,Intensify,0.714286
Base_H08_FrontLoaded_Flat,Simplify,Contrast,0.857143
Base_H08_FrontLoaded_Flat,Simplify,Fill,0.76
Base_H08_FrontLoaded_Flat,Intensify,Contrast,0.590909
Base_H08_FrontLoaded_Flat,Intensify,Fill,0.357143
Base_H08_FrontLoaded_Flat,Contrast,Fill,0.6
Base_H08_FrontLoaded_Increasing,Mirror,Complement,0.823529
Base_H08_FrontLoaded_Increasing,Mirror,Simplify,0.3
Base_H08_FrontLoaded_Increasing,Mirror,Intensify,0.590909
Base_H08_FrontLoaded_Increasing,Mirror,Contrast,0.823529
Base_H08_FrontLoaded_Increasing,Mirror,Fill,0.75
Base_H08_FrontLoaded_Increasing,Complement,Simplify,0.866667
Base_H08_FrontLoaded_Increasing,Complement,Intensify,0.652174
Base_H08_FrontLoaded_Increasing,Complement,Contrast,0.571429
Base_H08_FrontLoaded_Increasing,Complement,Fill,0.653846
Base_H08_FrontLoaded_Increasing,Simplify,Intensify,0.666667
Base_H08_FrontLoaded_Increasing,Simplify,Contrast,0.866667
Base_H08_FrontLoaded_Increasing,Simplify,Fill,0.769231
Base_H08_FrontLoaded_Increasing,Intensify,Contrast,0.652174
Base_H08_FrontLoaded_Increasing,Intensify,Fill,0.413793
Base_H08_FrontLoaded_Increasing,Contrast,Fill,0.6
Base_H12_AnchorLed_AccentedEnding,Mirror,Complement,0.705882
Base_H12_AnchorLed_AccentedEnding,Mirror,Simplify,0.846154
Base_H12_AnchorLed_AccentedEnding,Mirror,Intensify,0.428571
Base_H12_AnchorLed_AccentedEnding,Mirror,Contrast,0.85
Base_H12_AnchorLed_AccentedEnding,Mirror,Fill,0.47619
Base_H12_AnchorLed_AccentedEnding,Complement,Simplify,0.9
Base_H12_AnchorLed_AccentedEnding,Complement,Intensify,0.619048
Base_H12_AnchorLed_AccentedEnding,Complement,Contrast,0.538462
Base_H12_AnchorLed_AccentedEnding,Complement,Fill,0.526316
Base_H12_AnchorLed_AccentedEnding,Simplify,Intensify,0.9
Base_H12_AnchorLed_AccentedEnding,Simplify,Contrast,0.909091
Base_H12_AnchorLed_AccentedEnding,Simplify,Fill,0.894737
Base_H12_AnchorLed_AccentedEnding,Intensify,Contrast,0.571429
Base_H12_AnchorLed_AccentedEnding,Intensify,Fill,0.227273
Base_H12_AnchorLed_AccentedEnding,Contrast,Fill,0.473684
Base_H12_AnchorLed_Flat,Mirror,Complement,0.705882
Base_H12_AnchorLed_Flat,Mirror,Simplify,0.846154
Base_H12_AnchorLed_Flat,Mirror,Intensify,0.428571
Base_H12_AnchorLed_Flat,Mirror,Contrast,0.85
Base_H12_AnchorLed_Flat,Mirror,Fill,0.47619
Base_H12_AnchorLed_Flat,Complement,Simplify,0.9
Base_H12_AnchorLed_Flat,Complement,Intensify,0.619048
Base_H12_AnchorLed_Flat,Complement,Contrast,0.538462
Base_H12_AnchorLed_Flat,Complement,Fill,0.526316
Base_H12_AnchorLed_Flat,Simplify,Intensify,0.9
Base_H12_AnchorLed_Flat,Simplify,Contrast,0.909091
Base_H12_AnchorLed_Flat,Simplify,Fill,0.894737
Base_H12_AnchorLed_Flat,Intensify,Contrast,0.571429
Base_H12_AnchorLed_Flat,Intensify,Fill,0.227273
Base_H12_AnchorLed_Flat,Contrast,Fill,0.473684
Base_H12_AnchorLed_Increasing,Mirror,Complement,0.705882
Base_H12_AnchorLed_Increasing,Mirror,Simplify,0.846154
Base_H12_AnchorLed_Increasing,Mirror,Intensify,0.428571
Base_H12_AnchorLed_Increasing,Mirror,Contrast,0.85
Base_H12_AnchorLed_Increasing,Mirror,Fill,0.47619
Base_H12_AnchorLed_Increasing,Complement,Simplify,0.9
Base_H12_AnchorLed_Increasing,Complement,Intensify,0.619048
Base_H12_AnchorLed_Increasing,Complement,Contrast,0.538462
Base_H12_AnchorLed_Increasing,Complement,Fill,0.526316
Base_H12_AnchorLed_Increasing,Simplify,Intensify,0.9
Base_H12_AnchorLed_Increasing,Simplify,Contrast,0.909091
Base_H12_AnchorLed_Increasing,Simplify,Fill,0.894737
Base_H12_AnchorLed_Increasing,Intensify,Contrast,0.571429
Base_H12_AnchorLed_Increasing,Intensify,Fill,0.227273
Base_H12_AnchorLed_Increasing,Contrast,Fill,0.473684
Base_H12_BackLoaded_AccentedEnding,Mirror,Complement,0.647059
Base_H12_BackLoaded_AccentedEnding,Mirror,Simplify,0.230769
Base_H12_BackLoaded_AccentedEnding,Mirror,Intensify,0.62069
Base_H12_BackLoaded_AccentedEnding,Mirror,Contrast,0.555556
Base_H12_BackLoaded_AccentedEnding,Mirror,Fill,0.727273
Base_H12_BackLoaded_AccentedEnding,Complement,Simplify,0.571429
Base_H12_BackLoaded_AccentedEnding,Complement,Intensify,0.62963
Base_H12_BackLoaded_AccentedEnding,Complement,Contrast,0.5625
Base_H12_BackLoaded_AccentedEnding,Complement,Fill,0.655172
Base_H12_BackLoaded_AccentedEnding,Simplify,Intensify,0.62963
Base_H12_BackLoaded_AccentedEnding,Simplify,Contrast,0.466667
Base_H12_BackLoaded_AccentedEnding,Simplify,Fill,0.7
Base_H12_BackLoaded_AccentedEnding,Intensify,Contrast,0.518519
Base_H12_BackLoaded_AccentedEnding,Intensify,Fill,0.25
Base_H12_BackLoaded_AccentedEnding,Contrast,Fill,0.551724
Base_H12_BackLoaded_Flat,Mirror,Complement,0.647059
Base_H12_BackLoaded_Flat,Mirror,Simplify,0.307692
Base_H12_BackLoaded_Flat,Mirror,Intensify,0.586207
Base_H12_BackLoaded_Flat,Mirror,Contrast,0.470588
Base_H12_BackLoaded_Flat,Mirror,Fill,0.666667
Base_H12_BackLoaded_Flat,Complement,Simplify,0.538462
Base_H12_BackLoaded_Flat,Complement,Intensify,0.642857
Base_H12_BackLoaded_Flat,Complement,Contrast,0.5625
Base_H12_BackLoaded_Flat,Complement,Fill,0.677419
Base_H12_BackLoaded_Flat,Simplify,Intensify,0.678571
Base_H12_BackLoaded_Flat,Simplify,Contrast,0.428571
Base_H12_BackLoaded_Flat,Simplify,Fill,0.709677
Base_H12_BackLoaded_Flat,Intensify,Contrast,0.535714
Base_H12_BackLoaded_Flat,Intensify,Fill,0.264706
Base_H12_BackLoaded_Flat,Contrast,Fill,0.580645
Base_H12_BackLoaded_Increasing,Mirror,Complement,0.647059
Base_H12_BackLoaded_Increasing,Mirror,Simplify,0.230769
Base_H12_BackLoaded_Increasing,Mirror,Intensify,0.62069
Base_H12_BackLoaded_Increasing,Mirror,Contrast,0.555556
Base_H12_BackLoaded_Increasing,Mirror,Fill,0.727273
Base_H12_BackLoaded_Increasing,Complement,Simplify,0.571429
Base_H12_BackLoaded_Increasing,Complement,Intensify,0.62963
Base_H12_BackLoaded_Increasing,Complement,Contrast,0.5625
Base_H12_BackLoaded_Increasing,Complement,Fill,0.655172
Base_H12_BackLoaded_Increasing,Simplify,Intensify,0.62963
Base_H12_BackLoaded_Increasing,Simplify,Contrast,0.466667
Base_H12_BackLoaded_Increasing,Simplify,Fill,0.7
Base_H12_BackLoaded_Increasing,Intensify,Contrast,0.518519
Base_H12_BackLoaded_Increasing,Intensify,Fill,0.25
Base_H12_BackLoaded_Increasing,Contrast,Fill,0.551724
Base_H12_Clustered_AccentedEnding,Mirror,Complement,0.647059
Base_H12_Clustered_AccentedEnding,Mirror,Simplify,0.692308
Base_H12_Clustered_AccentedEnding,Mirror,Intensify,0.541667
Base_H12_Clustered_AccentedEnding,Mirror,Contrast,0.761905
Base_H12_Clustered_AccentedEnding,Mirror,Fill,0.56
Base_H12_Clustered_AccentedEnding,Complement,Simplify,0.727273
Base_H12_Clustered_AccentedEnding,Complement,Intensify,0.608696
Base_H12_Clustered_AccentedEnding,Complement,Contrast,0.5625
Base_H12_Clustered_AccentedEnding,Complement,Fill,0.565217
Base_H12_Clustered_AccentedEnding,Simplify,Intensify,0.818182
Base_H12_Clustered_AccentedEnding,Simplify,Contrast,0.785714
Base_H12_Clustered_AccentedEnding,Simplify,Fill,0.826087
Base_H12_Clustered_AccentedEnding,Intensify,Contrast,0.541667
Base_H12_Clustered_AccentedEnding,Intensify,Fill,0.269231
Base_H12_Clustered_AccentedEnding,Contrast,Fill,0.434783
Base_H12_Clustered_Flat,Mirror,Complement,0.647059
Base_H12_Clustered_Flat,Mirror,Simplify,0.692308
Base_H12_Clustered_Flat,Mirror,Intensify,0.541667
Base_H12_Clustered_Flat,Mirror,Contrast,0.761905
Base_H12_Clustered_Flat,Mirror,Fill,0.56
Base_H12_Clustered_Flat,Complement,Simplify,0.727273
Base_H12_Clustered_Flat,Complement,Intensify,0.608696
Base_H12_Clustered_Flat,Complement,Contrast,0.5625
Base_H12_Clustered_Flat,Complement,Fill,0.565217
Base_H12_Clustered_Flat,Simplify,Intensify,0.818182
Base_H12_Clustered_Flat,Simplify,Contrast,0.785714
Base_H12_Clustered_Flat,Simplify,Fill,0.826087
Base_H12_Clustered_Flat,Intensify,Contrast,0.541667
Base_H12_Clustered_Flat,Intensify,Fill,0.269231
Base_H12_Clustered_Flat,Contrast,Fill,0.434783
Base_H12_Clustered_Increasing,Mirror,Complement,0.647059
Base_H12_Clustered_Increasing,Mirror,Simplify,0.692308
Base_H12_Clustered_Increasing,Mirror,Intensify,0.541667
Base_H12_Clustered_Increasing,Mirror,Contrast,0.761905
Base_H12_Clustered_Increasing,Mirror,Fill,0.56
Base_H12_Clustered_Increasing,Complement,Simplify,0.727273
Base_H12_Clustered_Increasing,Complement,Intensify,0.608696
Base_H12_Clustered_Increasing,Complement,Contrast,0.5625
Base_H12_Clustered_Increasing,Complement,Fill,0.565217
Base_H12_Clustered_Increasing,Simplify,Intensify,0.818182
Base_H12_Clustered_Increasing,Simplify,Contrast,0.785714
Base_H12_Clustered_Increasing,Simplify,Fill,0.826087
Base_H12_Clustered_Increasing,Intensify,Contrast,0.541667
Base_H12_Clustered_Increasing,Intensify,Fill,0.269231
Base_H12_Clustered_Increasing,Contrast,Fill,0.434783
Base_H12_Even_AccentedEnding,Mirror,Complement,0.647059
Base_H12_Even_AccentedEnding,Mirror,Simplify,0.230769
Base_H12_Even_AccentedEnding,Mirror,Intensify,0.518519
Base_H12_Even_AccentedEnding,Mirror,Contrast,0.631579
Base_H12_Even_AccentedEnding,Mirror,Fill,0.727273
Base_H12_Even_AccentedEnding,Complement,Simplify,0.571429
Base_H12_Even_AccentedEnding,Complement,Intensify,0.62963
Base_H12_Even_AccentedEnding,Complement,Contrast,0.5625
Base_H12_Even_AccentedEnding,Complement,Fill,0.655172
Base_H12_Even_AccentedEnding,Simplify,Intensify,0.62963
Base_H12_Even_AccentedEnding,Simplify,Contrast,0.5625
Base_H12_Even_AccentedEnding,Simplify,Fill,0.7
Base_H12_Even_AccentedEnding,Intensify,Contrast,0.518519
Base_H12_Even_AccentedEnding,Intensify,Fill,0.444444
Base_H12_Even_AccentedEnding,Contrast,Fill,0.551724
Base_H12_Even_Flat,Mirror,Complement,0.647059
Base_H12_Even_Flat,Mirror,Simplify,0.307692
Base_H12_Even_Flat,Mirror,Intensify,0.535714
Base_H12_Even_Flat,Mirror,Contrast,0.470588
Base_H12_Even_Flat,Mirror,Fill,0.645161
Base_H12_Even_Flat,Complement,Simplify,0.538462
Base_H12_Even_Flat,Complement,Intensify,0.642857
Base_H12_Even_Flat,Complement,Contrast,0.5625
Base_H12_Even_Flat,Complement,Fill,0.655172
Base_H12_Even_Flat,Simplify,Intensify,0.678571
Base_H12_Even_Flat,Simplify,Contrast,0.533333
Base_H12_Even_Flat,Simplify,Fill,0.689655
Base_H12_Even_Flat,Intensify,Contrast,0.535714
Base_H12_Even_Flat,Intensify,Fill,0.416667
Base_H12_Even_Flat,Contrast,Fill,0.551724
Base_H12_Even_Increasing,Mirror,Complement,0.647059
Base_H12_Even_Increasing,Mirror,Simplify,0.230769
Base_H12_Even_Increasing,Mirror,Intensify,0.518519
Base_H12_Even_Increasing,Mirror,Contrast,0.631579
Base_H12_Even_Increasing,Mirror,Fill,0.727273
Base_H12_Even_Increasing,Complement,Simplify,0.571429
Base_H12_Even_Increasing,Complement,Intensify,0.62963
Base_H12_Even_Increasing,Complement,Contrast,0.5625
Base_H12_Even_Increasing,Complement,Fill,0.655172
Base_H12_Even_Increasing,Simplify,Intensify,0.62963
Base_H12_Even_Increasing,Simplify,Contrast,0.5625
Base_H12_Even_Increasing,Simplify,Fill,0.7
Base_H12_Even_Increasing,Intensify,Contrast,0.518519
Base_H12_Even_Increasing,Intensify,Fill,0.444444
Base_H12_Even_Increasing,Contrast,Fill,0.551724
Base_H12_FrontLoaded_AccentedEnding,Mirror,Complement,0.647059
Base_H12_FrontLoaded_AccentedEnding,Mirror,Simplify,0.230769
Base_H12_FrontLoaded_AccentedEnding,Mirror,Intensify,0.62069
Base_H12_FrontLoaded_AccentedEnding,Mirror,Contrast,0.555556
Base_H12_FrontLoaded_AccentedEnding,Mirror,Fill,0.727273
Base_H12_FrontLoaded_AccentedEnding,Complement,Simplify,0.571429
Base_H12_FrontLoaded_AccentedEnding,Complement,Intensify,0.62963
Base_H12_FrontLoaded_AccentedEnding,Complement,Contrast,0.5625
Base_H12_FrontLoaded_AccentedEnding,Complement,Fill,0.655172
Base_H12_FrontLoaded_AccentedEnding,Simplify,Intensify,0.62963
Base_H12_FrontLoaded_AccentedEnding,Simplify,Contrast,0.466667
Base_H12_FrontLoaded_AccentedEnding,Simplify,Fill,0.7
Base_H12_FrontLoaded_AccentedEnding,Intensify,Contrast,0.518519
Base_H12_FrontLoaded_AccentedEnding,Intensify,Fill,0.30303
Base_H12_FrontLoaded_AccentedEnding,Contrast,Fill,0.551724
Base_H12_FrontLoaded_Flat,Mirror,Complement,0.647059
Base_H12_FrontLoaded_Flat,Mirror,Simplify,0.307692
Base_H12_FrontLoaded_Flat,Mirror,Intensify,0.677419
Base_H12_FrontLoaded_Flat,Mirror,Contrast,0.555556
Base_H12_FrontLoaded_Flat,Mirror,Fill,0.727273
Base_H12_FrontLoaded_Flat,Complement,Simplify,0.538462
Base_H12_FrontLoaded_Flat,Complement,Intensify,0.642857
Base_H12_FrontLoaded_Flat,Complement,Contrast,0.5625
Base_H12_FrontLoaded_Flat,Complement,Fill,0.655172
Base_H12_FrontLoaded_Flat,Simplify,Intensify,0.678571
Base_H12_FrontLoaded_Flat,Simplify,Contrast,0.428571
Base_H12_FrontLoaded_Flat,Simplify,Fill,0.689655
Base_H12_FrontLoaded_Flat,Intensify,Contrast,0.535714
Base_H12_FrontLoaded_Flat,Intensify,Fill,0.272727
Base_H12_FrontLoaded_Flat,Contrast,Fill,0.551724
Base_H12_FrontLoaded_Increasing,Mirror,Complement,0.647059
Base_H12_FrontLoaded_Increasing,Mirror,Simplify,0.230769
Base_H12_FrontLoaded_Increasing,Mirror,Intensify,0.62069
